keys;fi;en

POPUP_MESSAGE;"Tervetuloa peliin! \n Sinun täytyy selvittää, miten päästä tien yli turvallisesti. \n Klikkaa kohtia, jotka ovat väärin.";"Welcome to the game! \n You have to figure out, how to get to the other side safely. \n Click on the errors."

LEVEL2_POPUP;"Voi ei! Tiellä on kuoppa. \n Korjaa ongelma jatkaaksesi matkaa! \n Järjestyksellä on väliä.";"Oh no! The road is blocked by a pothole. \n Fix the problem to continue your journey. \n Order matters."

CONFIRMATION_POP;"Oletko varma, \n että haluat poistua? \n Kotiin/Palaa takaisin tasolle";"Are you sure you want to leave? \n Home/Back to level"

ADDRESS;"Osoite: ";"Address: "

WHAT;"Mikä tämä on?";"What is it?"

STUDENTAMT;"Oppilasmäärä: ";"Student amount: "

NEAREST;"\n Lähin koulu: "; "\n Nearest school: "

NASI; "Näsikallion suihkukaivo";"Näsikallio water fountain"

CHURCH;"Aleksanterin kirkko";"Alexander church"

LIB;"Pääkirjasto Metso";"Main Library Metso"